Transaction_ID,Day,Date,Product_ID,Product_Name,Category,Supplier_ID,Stock_In,Stock_Out,Unit_Cost,Current_Stock,Reorder_Level,Stock_Value,Movement_Net,Reorder_Status
INV106692,Wednesday,01-01-2025,P001,Dell Inspiron 15,Electronics,S011,86,14,"? 50,381",715,100,"? 3,60,22,610",72,Sufficient Stock
INV123637,Wednesday,01-01-2025,P001,Dell Inspiron 15,Electronics,S002,0,24,"? 51,008",691,100,"? 3,52,46,283",-24,Sufficient Stock
INV126793,Wednesday,01-01-2025,P001,Dell Inspiron 15,Electronics,S014,233,28,"? 45,754",896,100,"? 4,09,95,618",205,Sufficient Stock
INV103217,Wednesday,01-01-2025,P002,HP 15s,Electronics,S013,217,0,"? 41,672",929,37,"? 3,87,13,161",217,Sufficient Stock
INV107743,Wednesday,01-01-2025,P002,HP 15s,Electronics,S006,39,23,"? 43,202",945,37,"? 4,08,26,005",16,Sufficient Stock
INV108952,Wednesday,01-01-2025,P002,HP 15s,Electronics,S006,211,29,"? 46,054",1127,37,"? 5,19,02,981",182,Sufficient Stock
INV109220,Wednesday,01-01-2025,P002,HP 15s,Electronics,S006,24,20,"? 41,736",1131,37,"? 4,72,03,856",4,Sufficient Stock
INV110399,Wednesday,01-01-2025,P002,HP 15s,Electronics,S006,195,17,"? 45,506",1309,37,"? 5,95,67,913",178,Sufficient Stock
INV128412,Wednesday,01-01-2025,P002,HP 15s,Electronics,S006,30,28,"? 44,799",1311,37,"? 5,87,31,838",2,Sufficient Stock
INV120523,Wednesday,01-01-2025,P004,Apple MacBook Air,Electronics,S004,0,23,"? 96,492",713,94,"? 6,87,98,450",-23,Sufficient Stock
INV121303,Wednesday,01-01-2025,P004,Apple MacBook Air,Electronics,S004,0,25,"? 98,828",688,94,"? 6,79,93,901",-25,Sufficient Stock
INV105423,Wednesday,01-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,222,26,"? 3,957",399,46,"? 15,78,761",196,Sufficient Stock
INV108803,Wednesday,01-01-2025,P007,Samsung 24-inch Monitor,Electronics,S010,127,0,"? 16,654",326,76,"? 54,29,188",127,Sufficient Stock
INV119794,Wednesday,01-01-2025,P008,LG 27-inch Monitor,Electronics,S009,197,20,"? 20,427",479,99,"? 97,84,473",177,Sufficient Stock
INV108950,Wednesday,01-01-2025,P009,TP-Link WiFi Router,Electronics,S014,101,0,"? 5,314",871,94,"? 46,28,438",101,Sufficient Stock
INV112116,Wednesday,01-01-2025,P009,TP-Link WiFi Router,Electronics,S014,0,30,"? 5,759",841,94,"? 48,42,927",-30,Sufficient Stock
INV115151,Wednesday,01-01-2025,P009,TP-Link WiFi Router,Electronics,S001,211,20,"? 5,159",1032,94,"? 53,23,731",191,Sufficient Stock
INV116619,Wednesday,01-01-2025,P011,Epson EcoTank Printer,Electronics,S003,0,25,"? 23,545",338,67,"? 79,58,243",-25,Sufficient Stock
INV105764,Wednesday,01-01-2025,P012,Canon Laser Printer,Electronics,S002,229,0,"? 19,066",796,22,"? 1,51,76,586",229,Sufficient Stock
INV125618,Wednesday,01-01-2025,P012,Canon Laser Printer,Electronics,S002,77,16,"? 19,046",857,22,"? 1,63,22,531",61,Sufficient Stock
INV101544,Wednesday,01-01-2025,P013,Samsung 1TB SSD,Electronics,S012,134,0,"? 8,188",923,47,"? 75,57,726",134,Sufficient Stock
INV128002,Wednesday,01-01-2025,P014,WD 2TB HDD,Electronics,S015,0,17,"? 6,790",309,22,"? 20,97,997",-17,Sufficient Stock
INV118675,Wednesday,01-01-2025,P016,APC UPS 650VA,Electronics,S001,136,24,"? 8,985",234,68,"? 21,02,510",112,Sufficient Stock
INV103560,Wednesday,01-01-2025,P018,Anker Power Bank,Electronics,S010,157,24,"? 4,359",360,58,"? 15,69,205",133,Sufficient Stock
INV104709,Wednesday,01-01-2025,P019,Sony Bluetooth Speaker,Electronics,S006,67,28,"? 7,631",257,100,"? 19,61,056",39,Sufficient Stock
